text,label,category,language,source
"Payment of Rs 5,000 done, screenshot attached. Please deliver the order, the amount will reflect in 4 hours.",1,fake_payment,en,seed_template
बधाई हो! आपका नंबर लकी ड्रॉ में चुना गया है। इनाम पाने के लिए 6303456789 पर कॉल करें।,1,lottery_prize,hi,seed_template
"Work from home job. 4 hours daily, salary Rs 499 per day. Join our Telegram group and complete simple tasks. Deposit Rs 25,000 to unlock tasks.",1,job_task,en,seed_template
आपका खाता आज बंद हो जाएगा। केवाईसी तुरंत अपडेट करें: http://verify-account.top,1,kyc_account_block,hi,seed_template
"Your OTP for the transaction of Rs 25,000 is 887312. Do not share this OTP with anyone. - Axis Bank",0,not_scam,en,seed_template
Power shutdown notice: supply will be off in your area on Sunday from 10 AM to 1 PM for maintenance work. Helpline 7012345689.,0,not_scam,en,seed_template
Your Amazon package was delivered to Priya. Thank you for shopping with us.,0,not_scam,en,seed_template
Appointment confirmed at City Hospital on 26 September at 11:00 AM with Dr. Sunita. Reference 445120. Please arrive 15 minutes early.,0,not_scam,en,seed_template
Appointment confirmed at City Hospital on 26 September at 11:00 AM with Dr. Rahul. Reference 445120. Please arrive 15 minutes early.,0,not_scam,en,seed_template
"Thank you Rahul. Your bill payment of Rs 25,000 through the official app was successful.",0,not_scam,en,seed_template
Your BHIM account will be closed for suspicious activity. Verify with the OTP 771205 that our officer sends you now.,1,other_scam,en,seed_template
"Your train ticket PNR 771205 is confirmed. Coach S4, seat 42. Happy journey, Sunita.",0,not_scam,en,seed_template
"Aapko Rs 2,000 ka refund mila hai. Paisa lene ke liye UPI PIN daalein aur request accept karein.",1,upi_cashback_collect,hinglish,seed_template
"Dear user, your net banking will be deactivated tonight. Verify your details here http://upi-cashback.vip and share the OTP with our executive.",1,kyc_account_block,en,seed_template
"Join our VIP stock group. Our expert's tips gave members 3X returns in 30 days. Guaranteed profit. Only 20 seats left. Pay Rs 10,000 to join.",1,investment,en,seed_template
"Papa, my phone is broken, this is my new number. I need Rs 2,000 urgently for a hospital payment. Send it to support.care@ibl.",1,relative_emergency,en,seed_template
"Your mobile recharge of Rs 1,999 is successful. Validity 28 days. Enjoy unlimited calls.",0,not_scam,en,seed_template
"आपकी ट्रेन टिकट कन्फर्म हो गई है। पीएनआर 887312, कोच एस4। यात्रा शुभ हो, Meena।",0,not_scam,hi,seed_template
"Dear consumer, your electricity connection will be disconnected tonight at midnight as your last bill was not updated. Call officer 9876543221 immediately.",1,electricity_bill,en,seed_template
Punjab National Bank: your new debit card has been dispatched to Meena and will reach you in 5 working days.,0,not_scam,en,seed_template
"Join our VIP stock group. Our expert's tips gave members 3X returns in 30 days. Guaranteed profit. Only 20 seats left. Pay Rs 49,999 to join.",1,investment,en,seed_template
Your booking at Hotel Meera for 2 nights is confirmed under Amit. Booking id 445120. Check-in 2 PM on 30 September.,0,not_scam,en,seed_template
"Your municipal tax payment of Rs 2,000 is successful. This is a computer generated receipt.",0,not_scam,en,seed_template
"Your UPI transaction of Rs 25,000 to Rahul is successful. UPI reference 447120311902.",0,not_scam,en,seed_template
Appointment confirmed at City Hospital on 26 September at 11:00 AM with Dr. Amit. Reference 771205. Please arrive 15 minutes early.,0,not_scam,en,seed_template
Your PhonePe account will be closed for suspicious activity. Verify with the OTP 902344 that our officer sends you now.,1,other_scam,en,seed_template
"Your UPI transaction of Rs 4,500 to Priya is successful. UPI reference 447120311902.",0,not_scam,en,seed_template
"Mummy mera accident ho gaya hai, 999 rupay turant is number par bhej do, phone baad me karta hoon.",1,relative_emergency,hinglish,seed_template
आपका ओटीपी 445120 है। इसे किसी के साथ साझा न करें।,0,not_scam,hi,seed_template
"Mummy mera accident ho gaya hai, 499 rupay turant is number par bhej do, phone baad me karta hoon.",1,relative_emergency,hinglish,seed_template
Bijli connection aaj raat 6 PM today par kaat diya jayega. Turant officer 7012345689 ko call karein.,1,electricity_bill,hinglish,seed_template
"Instant loan approved! Rs 4,500 credited in 5 minutes, no documents needed. Download the app from http://kyc-update-bnk.in and share your OTP.",1,loan_app,en,seed_template
"Thank you for visiting our clinic, Amit. Report 771205 is ready and can be collected from the reception.",0,not_scam,en,seed_template
"Rs 1,999 credited to your account XX9032 as salary for September 2026. Available balance Rs 62,410.",0,not_scam,en,seed_template
"आपका 10,000 रुपये का भुगतान प्राप्त हुआ। यह कंप्यूटर से बनी रसीद है, किसी कार्रवाई की ज़रूरत नहीं।",0,not_scam,hi,seed_template
"Sir, I sent Rs 2,000 to your number by mistake. Please return it to winner2026@ybl. Screenshot attached.",1,fake_payment,en,seed_template
Install this APK to check your electricity bill: http://india-post-parcel.online. Only this app works for bill payment now.,1,other_scam,en,seed_template
"Dear consumer, your electricity connection will be disconnected tonight at 6 PM today as your last bill was not updated. Call officer 9123456780 immediately.",1,electricity_bill,en,seed_template
Reminder: your credit card statement of Rs 999 is due on 30-09-2026. Pay through the bank app.,0,not_scam,en,seed_template
Customs has seized your parcel. Your Aadhaar is linked to money laundering. Call 6303456789 to avoid arrest warrant.,1,parcel_digital_arrest,en,seed_template
SBI: your new debit card has been dispatched to Sunita and will reach you in 5 working days.,0,not_scam,en,seed_template
"Google Pay reward: you have won Rs 49,999. Scan the QR and enter your PIN to receive the money in your account.",1,upi_cashback_collect,en,seed_template
"Your municipal tax payment of Rs 10,000 is successful. This is a computer generated receipt.",0,not_scam,en,seed_template
"Electricity bill pending. Power supply will be cut 2 hours. Pay Rs 25,000 now at http://india-post-parcel.online or call 6303456789.",1,electricity_bill,en,seed_template
Customs has seized your parcel. Your Aadhaar is linked to money laundering. Call 8890012345 to avoid arrest warrant.,1,parcel_digital_arrest,en,seed_template
Your OTP for the transaction of Rs 999 is 445120. Do not share this OTP with anyone. - Punjab National Bank,0,not_scam,en,seed_template
Customs has seized your parcel. Your Aadhaar is linked to money laundering. Call 7012345689 to avoid arrest warrant.,1,parcel_digital_arrest,en,seed_template
"Sir, I sent Rs 1,999 to your number by mistake. Please return it to refund.help@paytm. Screenshot attached.",1,fake_payment,en,seed_template
"Mummy mera accident ho gaya hai, 1,999 rupay turant is number par bhej do, phone baad me karta hoon.",1,relative_emergency,hinglish,seed_template
"Rs 49,999 cashback received! Accept the request and enter your UPI PIN to claim it now.",1,upi_cashback_collect,en,seed_template
Bank of Baroda alert: your account is suspended due to incomplete KYC. Complete verification within 24 hours at http://bit.ly/3xKyc9,1,kyc_account_block,en,seed_template
"Reminder: your credit card statement of Rs 10,000 is due on 30-09-2026. Pay through the bank app.",0,not_scam,en,seed_template
"Dear parent of Sunita, the school will remain closed tomorrow due to heavy rain. Classes resume on Monday.",0,not_scam,en,seed_template
Your Blue Dart package was delivered to Meena. Thank you for shopping with us.,0,not_scam,en,seed_template
"Sir, I sent Rs 10,000 to your number by mistake. Please return it to support.care@ibl. Screenshot attached.",1,fake_payment,en,seed_template
"आपका 4,500 रुपये का भुगतान प्राप्त हुआ। यह कंप्यूटर से बनी रसीद है, किसी कार्रवाई की ज़रूरत नहीं।",0,not_scam,hi,seed_template
"आपकी ट्रेन टिकट कन्फर्म हो गई है। पीएनआर 902344, कोच एस4। यात्रा शुभ हो, Amit।",0,not_scam,hi,seed_template
"Reminder: your credit card statement of Rs 4,500 is due on 30-09-2026. Pay through the bank app.",0,not_scam,en,seed_template
Your OTP for the transaction of Rs 499 is 445120. Do not share this OTP with anyone. - Punjab National Bank,0,not_scam,en,seed_template
"Aapke account se Rs 499 debit hue hain. Balance Rs 12,340. Koi kaam karne ki zarurat nahi.",0,not_scam,hinglish,seed_template
Your gas cylinder booking is confirmed. Delivery within 4 days. Booking number 887312.,0,not_scam,en,seed_template
"Dear consumer, your electricity connection will be disconnected tonight at 10 PM as your last bill was not updated. Call officer 9876543221 immediately.",1,electricity_bill,en,seed_template
आपका खाता आज बंद हो जाएगा। केवाईसी तुरंत अपडेट करें: http://loan-approve.site,1,kyc_account_block,hi,seed_template
"Flipkart courier: your package is held at customs. Pay Rs 5,000 clearance fee at http://india-post-parcel.online within tonight.",1,parcel_digital_arrest,en,seed_template
"Your mobile recharge of Rs 4,500 is successful. Validity 28 days. Enjoy unlimited calls.",0,not_scam,en,seed_template
"771205 is your one time password for login. Valid for 10 minutes. Never share it with anyone, including bank staff.",0,not_scam,en,seed_template
"HR here from a hiring company. Your resume is shortlisted for online data entry. Pay a refundable security deposit of Rs 49,999 to get your ID.",1,job_task,en,seed_template
"Electricity bill pending. Power supply will be cut 2 hours. Pay Rs 2,000 now at http://upi-cashback.vip or call 9876543221.",1,electricity_bill,en,seed_template
"Rs 25,000 debited from A/c XX4412 on 12-09-26 to Vikram. Not you? Call SBI customer care on the number printed on your card.",0,not_scam,en,seed_template
Aapka Amazon order kal shaam tak Meena ko deliver ho jayega. Dhanyavaad.,0,not_scam,hinglish,seed_template
"आपका बिजली बिल 25,000 रुपये का है, अंतिम तारीख 28 सितंबर। कृपया आधिकारिक ऐप से भुगतान करें।",0,not_scam,hi,seed_template
"Aapka Rs 1,999 ka bill payment mil gaya hai. Receipt number 445120. Dhanyavaad.",0,not_scam,hinglish,seed_template
"We have received your HDFC Bank credit card payment of Rs 5,000. Thank you.",0,not_scam,en,seed_template
"Your electricity bill of Rs 4,500 for August is due on 28-09-2026. Pay through your provider's official app or website.",0,not_scam,en,seed_template
"You have won an Delhivery lucky draw prize. Claim your gift by paying delivery charges of Rs 10,000 at http://verify-account.top.",1,lottery_prize,en,seed_template
Your gas cylinder booking is confirmed. Delivery within 2 days. Booking number 445120.,0,not_scam,en,seed_template
आपका खाता आज बंद हो जाएगा। केवाईसी तुरंत अपडेट करें: http://kyc-update-bnk.in,1,kyc_account_block,hi,seed_template
Your Flipkart order has been shipped and will arrive today between 2 PM and 6 PM. Track it in the app.,0,not_scam,en,seed_template
"Your OTP for the transaction of Rs 2,000 is 445120. Do not share this OTP with anyone. - Bank of Baroda",0,not_scam,en,seed_template
"We have received your SBI credit card payment of Rs 2,000. Thank you.",0,not_scam,en,seed_template
"PhonePe reward: you have won Rs 25,000. Scan the QR and enter your PIN to receive the money in your account.",1,upi_cashback_collect,en,seed_template
"आपके खाते में 5,000 रुपये जमा हुए हैं। यह जानकारी केवल आपकी सूचना के लिए है।",0,not_scam,hi,seed_template
"Reminder: your credit card statement of Rs 2,000 is due on 30-09-2026. Pay through the bank app.",0,not_scam,en,seed_template
"आपका 2,000 रुपये का भुगतान प्राप्त हुआ। यह कंप्यूटर से बनी रसीद है, किसी कार्रवाई की ज़रूरत नहीं।",0,not_scam,hi,seed_template
"Your insurance premium receipt for Rs 5,000 has been emailed to Vikram. Policy 887312. No action is needed.",0,not_scam,en,seed_template
"Bina document ke loan Rs 2,000 turant. Abhi apply karein http://upi-cashback.vip aur apna Aadhaar number bhejein.",1,loan_app,hinglish,seed_template
"Crypto trading se roz ka profit! Guaranteed return, koi risk nahi. Abhi http://sbi-rewards.xyz par register karein.",1,investment,hinglish,seed_template
